example_id                                     | status  | run_time        |
---------------------------------------------- | ------- | --------------- |
./spec/controllers/session_spec.rb[1:1:1]      | passed  | 0.02715 seconds |
./spec/controllers/session_spec.rb[1:2:1:1:1]  | passed  | 0.03537 seconds |
./spec/controllers/session_spec.rb[1:2:1:1:2]  | passed  | 0.03748 seconds |
./spec/controllers/session_spec.rb[1:2:1:1:3]  | passed  | 0.03424 seconds |
./spec/controllers/session_spec.rb[1:2:1:2:1]  | passed  | 0.02562 seconds |
./spec/controllers/session_spec.rb[1:2:2:1]    | passed  | 0.02869 seconds |
./spec/controllers/session_spec.rb[1:2:2:2]    | passed  | 0.03352 seconds |
./spec/controllers/session_spec.rb[1:3:1:1]    | passed  | 0.04153 seconds |
./spec/controllers/session_spec.rb[1:3:1:2]    | passed  | 0.03336 seconds |
./spec/controllers/session_spec.rb[1:3:1:3]    | passed  | 0.0348 seconds  |
./spec/controllers/user_spec.rb[1:1:1]         | passed  | 0.03776 seconds |
./spec/controllers/user_spec.rb[1:1:2]         | passed  | 0.10328 seconds |
./spec/controllers/user_spec.rb[1:2:1]         | passed  | 0.04607 seconds |
./spec/controllers/user_spec.rb[1:2:2]         | passed  | 0.04297 seconds |
./spec/controllers/user_spec.rb[1:3:1:1]       | passed  | 0.06217 seconds |
./spec/controllers/user_spec.rb[1:3:1:2]       | passed  | 0.05335 seconds |
./spec/controllers/user_spec.rb[1:3:1:3]       | passed  | 4.98 seconds    |
./spec/controllers/user_spec.rb[1:3:2:1]       | passed  | 0.03708 seconds |
./spec/controllers/user_spec.rb[1:3:2:2]       | passed  | 0.04332 seconds |
./spec/controllers/user_spec.rb[1:3:2:3]       | passed  | 0.06802 seconds |
./spec/controllers/user_spec.rb[1:4:1:1:1]     | passed  | 0.05064 seconds |
./spec/controllers/user_spec.rb[1:4:1:2:1:1]   | passed  | 0.07258 seconds |
./spec/controllers/user_spec.rb[1:4:1:2:1:2]   | passed  | 0.04053 seconds |
./spec/controllers/user_spec.rb[1:4:2:1:1]     | passed  | 0.0278 seconds  |
./spec/controllers/user_spec.rb[1:4:2:1:2]     | passed  | 0.02799 seconds |
./spec/controllers/user_spec.rb[1:4:2:1:3]     | passed  | 0.02769 seconds |
./spec/controllers/user_spec.rb[1:5:1:1:1:1]   | passed  | 0.04131 seconds |
./spec/controllers/user_spec.rb[1:5:1:1:1:2]   | passed  | 0.03694 seconds |
./spec/controllers/user_spec.rb[1:5:1:2:1:1]   | passed  | 0.04248 seconds |
./spec/controllers/user_spec.rb[1:5:1:2:1:2]   | passed  | 0.04614 seconds |
./spec/controllers/user_spec.rb[1:5:1:3:1]     | passed  | 0.0401 seconds  |
./spec/controllers/user_spec.rb[1:5:1:3:2]     | passed  | 0.03478 seconds |
./spec/controllers/user_spec.rb[1:5:2:1:1]     | passed  | 0.02619 seconds |
./spec/controllers/user_spec.rb[1:5:2:1:2]     | passed  | 0.02202 seconds |
./spec/controllers/user_spec.rb[1:5:2:1:3]     | passed  | 0.01976 seconds |
./spec/controllers/user_spec.rb[1:6:1:1:1]     | passed  | 0.04156 seconds |
./spec/controllers/user_spec.rb[1:6:1:1:2]     | passed  | 0.03065 seconds |
./spec/controllers/user_spec.rb[1:6:1:1:3]     | passed  | 0.03099 seconds |
./spec/controllers/user_spec.rb[1:6:1:2:1:1:1] | passed  | 0.03814 seconds |
./spec/controllers/user_spec.rb[1:6:1:2:1:1:2] | passed  | 0.04382 seconds |
./spec/controllers/user_spec.rb[1:6:1:2:2]     | passed  | 0.04925 seconds |
./spec/controllers/user_spec.rb[1:6:2:1:1:1]   | passed  | 0.03183 seconds |
./spec/controllers/user_spec.rb[1:6:2:1:1:2]   | passed  | 0.02952 seconds |
./spec/controllers/user_spec.rb[1:6:2:1:1:3]   | passed  | 0.03573 seconds |
./spec/controllers/user_spec.rb[1:6:2:2]       | passed  | 0.04116 seconds |
./spec/helpers/sessions_helper_spec.rb[1:1]    | pending | 0.00001 seconds |
./spec/helpers/users_helper_spec.rb[1:1]       | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1:1:1]            | passed  | 0.01199 seconds |
./spec/models/user_spec.rb[1:1:1:2]            | passed  | 0.01199 seconds |
./spec/models/user_spec.rb[1:1:2:1]            | passed  | 0.02789 seconds |
./spec/models/user_spec.rb[1:1:3:1]            | passed  | 0.00691 seconds |
./spec/models/user_spec.rb[1:2:1:1]            | passed  | 0.01181 seconds |
./spec/models/user_spec.rb[1:2:1:2]            | passed  | 0.00781 seconds |
./spec/models/user_spec.rb[1:2:2:1]            | passed  | 0.03389 seconds |
./spec/models/user_spec.rb[1:2:3:1]            | passed  | 0.01171 seconds |
./spec/models/user_spec.rb[1:3:1:1]            | passed  | 0.00955 seconds |
./spec/models/user_spec.rb[1:3:1:2]            | passed  | 0.0116 seconds  |
./spec/models/user_spec.rb[1:3:2:1]            | passed  | 0.0111 seconds  |
./spec/models/user_spec.rb[1:4:1:1]            | passed  | 0.0225 seconds  |
